"","yr","mm","dd","hr","mn","wdir_deg_t","wspd_m_s","pres_h_pa","atmp_deg_c","wtmp_deg_c","date","submission_id","common_name","scientific_name","taxonomic_order","count","state_province","county","location_id","location","latitude","longitude","time","protocol","duration_min","all_obs_reported","distance_traveled_km","area_covered_ha","number_of_observers","breeding_code","observation_details","checklist_comments","ml_catalog_numbers","wspd_mph","beaufort_ws","comp_dir","day_time","count2"
"12",2015,11,"01","11","07",NA,1.5,1018.4,14.8,15.8,2015-11-01,"S34575068","Pacific Loon","Gavia pacifica",6852,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,11:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 11:00:00,2
"13",2015,11,"01","13","07",NA,7.2,1018.5,14.9,15.9,2015-11-01,"S34575070","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,13:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"wind switched to NNE late last hour, surface got a lot choppier this hour, hence many more unids <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,16.1064,"4",NA,2015-11-01 13:00:00,1
"14",2015,11,"01","13","07",NA,7.2,1018.5,14.9,15.9,2015-11-01,"S34575070","Pacific Loon","Gavia pacifica",6852,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,13:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"wind switched to NNE late last hour, surface got a lot choppier this hour, hence many more unids <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,16.1064,"4",NA,2015-11-01 13:00:00,2
"15",2015,11,"01","14","07",NA,1.5,1018.6,15.1,15.8,2015-11-01,"S34575072","Surf Scoter","Melanitta perspicillata",703,13,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,14:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 14:00:00,13
"16",2015,11,"01","15","07",NA,1.5,1018.9,15.1,15.9,2015-11-01,"S34575074","Surf Scoter","Melanitta perspicillata",703,28,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,15:00:00,"eBird - Stationary Count",45,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 15:00:00,28
"17",2015,11,"01","15","07",NA,1.5,1018.9,15.1,15.9,2015-11-01,"S34575074","Pacific Loon","Gavia pacifica",6852,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,15:00:00,"eBird - Stationary Count",45,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 15:00:00,3
"18",2015,11,"01","16","07",NA,1.5,1020.3,15.3,15.8,2015-11-01,"S34575075","Pacific Loon","Gavia pacifica",6852,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,16:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"wind went NW by 16:25 <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 16:00:00,2
"19",2015,11,"02","06","06",NA,2.1,1015.2,16.3,15.7,2015-11-02,"S34575077","Pacific Loon","Gavia pacifica",6852,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,06:30:00,"eBird - Stationary Count",30,1,NA,NA,1,NA,NA,"Moderate rain, W wind, vis to only just beyond outer rocks at first, clearer to E and clearing out through period; crazy alcid flight precluded paying attention to much else <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,4.6977,"2",NA,2015-11-02 06:00:00,1
"20",2015,11,"02","07","06",NA,2.1,1015,16.2,15.8,2015-11-02,"S34575078","Surf Scoter","Melanitta perspicillata",703,40,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,07:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"Rain off and on (mostly on), wind switching to S early <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,4.6977,"2",NA,2015-11-02 07:00:00,40
"21",2015,11,"02","07","06",NA,2.1,1015,16.2,15.8,2015-11-02,"S34575078","Pacific Loon","Gavia pacifica",6852,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,07:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"Rain off and on (mostly on), wind switching to S early <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,4.6977,"2",NA,2015-11-02 07:00:00,3
"22",2015,11,"02","08","06",NA,1.5,1013.9,16.1,15.9,2015-11-02,"S34575079","Surf Scoter","Melanitta perspicillata",703,8,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,08:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"S wind, rain (light to ~8:20; moderate thereafter, obscuring vis after 8:35) <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-02 08:00:00,8
"23",2015,11,"02","08","06",NA,1.5,1013.9,16.1,15.9,2015-11-02,"S34575079","Pacific Loon","Gavia pacifica",6852,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,08:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"S wind, rain (light to ~8:20; moderate thereafter, obscuring vis after 8:35) <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-02 08:00:00,2
"24",2015,11,"02","09","06",NA,2.6,1013.6,16.2,15.9,2015-11-02,"S34575080","Surf Scoter","Melanitta perspicillata",703,5,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",45,1,NA,NA,1,NA,NA,"S wind, light rain; moderate rain at 9:25; light rain after 9:35 <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,5.8162,"2",NA,2015-11-02 09:00:00,5
"25",2015,11,"02","09","06",NA,2.6,1013.6,16.2,15.9,2015-11-02,"S34575080","Pacific Loon","Gavia pacifica",6852,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",45,1,NA,NA,1,NA,NA,"S wind, light rain; moderate rain at 9:25; light rain after 9:35 <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,5.8162,"2",NA,2015-11-02 09:00:00,2
"26",2015,11,"02","10","06",NA,3.6,1012.7,16.3,16,2015-11-02,"S34575082","Surf Scoter","Melanitta perspicillata",703,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"Light rain, SW wind; shortly after beginning of hour, BVSH line moved in close, then drifted out by end <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,8.0532,"3",NA,2015-11-02 10:00:00,2
"27",2015,11,"02","10","06",NA,3.6,1012.7,16.3,16,2015-11-02,"S34575082","Pacific Loon","Gavia pacifica",6852,9,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"Light rain, SW wind; shortly after beginning of hour, BVSH line moved in close, then drifted out by end <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,8.0532,"3",NA,2015-11-02 10:00:00,9
"28",2015,11,"02","11","06",NA,4.6,1011.5,16.3,16,2015-11-02,"S34575083","Surf Scoter","Melanitta perspicillata",703,33,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,11:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"S wind, spitting rain <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,10.2902,"3",NA,2015-11-02 11:00:00,33
"29",2015,11,"02","11","06",NA,4.6,1011.5,16.3,16,2015-11-02,"S34575083","Pacific Loon","Gavia pacifica",6852,7,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,11:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"S wind, spitting rain <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,10.2902,"3",NA,2015-11-02 11:00:00,7
"30",2015,11,"02","12","06",NA,8.2,1010.4,15.4,16,2015-11-02,"S34575084","Surf Scoter","Melanitta perspicillata",703,106,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,12:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"50% blue, light S wind; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,18.3434,"5",NA,2015-11-02 12:00:00,106
"31",2015,11,"02","12","06",NA,8.2,1010.4,15.4,16,2015-11-02,"S34575084","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,12:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"50% blue, light S wind; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,18.3434,"5",NA,2015-11-02 12:00:00,1
"32",2015,11,"02","12","06",NA,8.2,1010.4,15.4,16,2015-11-02,"S34575084","Pacific Loon","Gavia pacifica",6852,12,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,12:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"50% blue, light S wind; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,18.3434,"5",NA,2015-11-02 12:00:00,12
"33",2015,11,"02","13","06",NA,12.9,1009.4,14.7,16,2015-11-02,"S34575085","Surf Scoter","Melanitta perspicillata",703,76,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,13:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"overcast, SW breeze; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,28.8573,"6",NA,2015-11-02 13:00:00,76
"34",2015,11,"02","13","06",NA,12.9,1009.4,14.7,16,2015-11-02,"S34575085","Pacific Loon","Gavia pacifica",6852,15,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,13:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"overcast, SW breeze; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,28.8573,"6",NA,2015-11-02 13:00:00,15
"35",2015,11,"02","14","06",NA,6.7,1010,14.8,15.9,2015-11-02,"S34575088","Surf Scoter","Melanitta perspicillata",703,313,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,14:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"BS; wind swung to WNW late in hour <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,14.9879,"4",NA,2015-11-02 14:00:00,313
"36",2015,11,"02","14","06",NA,6.7,1010,14.8,15.9,2015-11-02,"S34575088","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,14:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"BS; wind swung to WNW late in hour <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,14.9879,"4",NA,2015-11-02 14:00:00,1
"37",2015,11,"02","14","06",NA,6.7,1010,14.8,15.9,2015-11-02,"S34575088","Pacific Loon","Gavia pacifica",6852,25,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,14:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"BS; wind swung to WNW late in hour <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,14.9879,"4",NA,2015-11-02 14:00:00,25
"38",2015,11,"02","15","06",NA,1.5,1010.1,14.9,15.8,2015-11-02,"S34575090","Surf Scoter","Melanitta perspicillata",703,210,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,15:00:00,"eBird - Stationary Count",60,1,NA,NA,4,NA,NA,"BS, DR, Cooper <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-02 15:00:00,210
"39",2015,11,"02","15","06",NA,1.5,1010.1,14.9,15.8,2015-11-02,"S34575090","Red-throated Loon","Gavia stellata",6848,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,15:00:00,"eBird - Stationary Count",60,1,NA,NA,4,NA,NA,"BS, DR, Cooper <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-02 15:00:00,2
"40",2015,11,"02","15","06",NA,1.5,1010.1,14.9,15.8,2015-11-02,"S34575090","Pacific Loon","Gavia pacifica",6852,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,15:00:00,"eBird - Stationary Count",60,1,NA,NA,4,NA,NA,"BS, DR, Cooper <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-02 15:00:00,3
"41",2015,11,"02","16","06",NA,4.1,1011.2,14.1,15.7,2015-11-02,"S34575087","Surf Scoter","Melanitta perspicillata",703,352,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,16:00:00,"eBird - Stationary Count",60,1,NA,NA,3,NA,NA,"BS, DR <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,9.1717,"3",NA,2015-11-02 16:00:00,352
"42",2015,11,"02","16","06",NA,4.1,1011.2,14.1,15.7,2015-11-02,"S34575087","Red-throated Loon","Gavia stellata",6848,6,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,16:00:00,"eBird - Stationary Count",60,1,NA,NA,3,NA,NA,"BS, DR <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,9.1717,"3",NA,2015-11-02 16:00:00,6
"43",2015,11,"02","16","06",NA,4.1,1011.2,14.1,15.7,2015-11-02,"S34575087","Pacific Loon","Gavia pacifica",6852,25,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,16:00:00,"eBird - Stationary Count",60,1,NA,NA,3,NA,NA,"BS, DR <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,9.1717,"3",NA,2015-11-02 16:00:00,25
"44",2015,11,"02","17","06",NA,5.7,1011.5,14.2,15.6,2015-11-02,"S34575086","Surf Scoter","Melanitta perspicillata",703,172,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,17:00:00,"eBird - Stationary Count",15,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,12.7509,"4",NA,2015-11-02 17:00:00,172
"45",2015,11,"02","17","06",NA,5.7,1011.5,14.2,15.6,2015-11-02,"S34575086","Pacific Loon","Gavia pacifica",6852,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,17:00:00,"eBird - Stationary Count",15,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,12.7509,"4",NA,2015-11-02 17:00:00,1
"46",2015,11,"03","06","06",NA,7.7,1009.2,14.8,15.6,2015-11-03,"S34575091","Surf Scoter","Melanitta perspicillata",703,836,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,06:25:00,"eBird - Stationary Count",35,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,17.2249,"4",NA,2015-11-03 06:00:00,836
"47",2015,11,"03","06","06",NA,7.7,1009.2,14.8,15.6,2015-11-03,"S34575091","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,06:25:00,"eBird - Stationary Count",35,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,17.2249,"4",NA,2015-11-03 06:00:00,1
"48",2015,11,"03","06","06",NA,7.7,1009.2,14.8,15.6,2015-11-03,"S34575091","Pacific Loon","Gavia pacifica",6852,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,06:25:00,"eBird - Stationary Count",35,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,17.2249,"4",NA,2015-11-03 06:00:00,3
"49",2015,11,"03","07","06",NA,9.3,1009.1,14.8,15.6,2015-11-03,"S34575092","Surf Scoter","Melanitta perspicillata",703,825,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,07:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,20.8041,"5",NA,2015-11-03 07:00:00,825
"50",2015,11,"03","07","06",NA,9.3,1009.1,14.8,15.6,2015-11-03,"S34575092","Pacific Loon","Gavia pacifica",6852,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,07:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,20.8041,"5",NA,2015-11-03 07:00:00,3
"51",2015,11,"03","08","06",NA,8.8,1009.2,14.6,15.6,2015-11-03,"S34575093","Surf Scoter","Melanitta perspicillata",703,408,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,08:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,19.6856,"5",NA,2015-11-03 08:00:00,408
"52",2015,11,"03","08","06",NA,8.8,1009.2,14.6,15.6,2015-11-03,"S34575093","Pacific Loon","Gavia pacifica",6852,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,08:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,19.6856,"5",NA,2015-11-03 08:00:00,3
"53",2015,11,"03","09","06",NA,6.7,1009.2,14.3,15.6,2015-11-03,"S34575094","Surf Scoter","Melanitta perspicillata",703,255,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,14.9879,"4",NA,2015-11-03 09:00:00,255
"54",2015,11,"03","09","06",NA,6.7,1009.2,14.3,15.6,2015-11-03,"S34575094","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,14.9879,"4",NA,2015-11-03 09:00:00,1
"55",2015,11,"03","09","06",NA,6.7,1009.2,14.3,15.6,2015-11-03,"S34575094","Pacific Loon","Gavia pacifica",6852,6,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,14.9879,"4",NA,2015-11-03 09:00:00,6
"56",2015,11,"03","10","06",NA,6.2,1009.8,14.3,15.6,2015-11-03,"S34575095","Surf Scoter","Melanitta perspicillata",703,305,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,13.8694,"4",NA,2015-11-03 10:00:00,305
"57",2015,11,"03","10","06",NA,6.2,1009.8,14.3,15.6,2015-11-03,"S34575095","Pacific Loon","Gavia pacifica",6852,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,13.8694,"4",NA,2015-11-03 10:00:00,2
"58",2015,11,"03","11","06",NA,7.7,1009.7,14.3,15.6,2015-11-03,"S34575096","Surf Scoter","Melanitta perspicillata",703,1034,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,11:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,17.2249,"4",NA,2015-11-03 11:00:00,1034
"59",2015,11,"03","11","06",NA,7.7,1009.7,14.3,15.6,2015-11-03,"S34575096","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,11:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,17.2249,"4",NA,2015-11-03 11:00:00,1
"60",2015,11,"03","11","06",NA,7.7,1009.7,14.3,15.6,2015-11-03,"S34575096","Pacific Loon","Gavia pacifica",6852,31,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,11:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,17.2249,"4",NA,2015-11-03 11:00:00,31
"61",2015,11,"03","12","06",NA,5.1,1010.1,14,15.6,2015-11-03,"S34575097","Surf Scoter","Melanitta perspicillata",703,789,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,12:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,11.4087,"3",NA,2015-11-03 12:00:00,789
"62",2015,11,"03","12","06",NA,5.1,1010.1,14,15.6,2015-11-03,"S34575097","Red-throated Loon","Gavia stellata",6848,2,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,12:00:00,"eBird - Stationary Count",60,1,NA,NA,1,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,11.4087,"3",NA,2015-11-03 12:00:00,2
